id,timestamp,station_name,latitude,longitude
147,2021-08-31T05:05:35Z,Indiana Ave & 26th St,41.845687,-87.622481
148,2021-08-31T05:05:35Z,State St & 33rd St,41.834734,-87.625813
149,2021-08-31T05:05:35Z,Calumet Ave & 33rd St,41.8349,-87.61793
1500206163166594382,2021-08-31T05:05:35Z,Ping Tom Park (East),41.857989,-87.631945
150,2021-08-31T05:05:35Z,Fort Dearborn Dr & 31st St,41.838556,-87.608218
15,2021-08-31T05:05:35Z,Racine Ave & 18th St,41.858166,-87.656495
1521679584953491780,2021-08-31T05:05:35Z,Kedzie Ave & 104th St,41.703776,-87.701395
1521686986436309688,2021-08-31T05:05:35Z,Damen Ave & Wabansia Ave,41.912281,-87.677321
1521690221159885714,2021-08-31T05:05:35Z,Hampden Ct & Diversey Ave,41.932559,-87.642385
152,2021-08-31T05:05:35Z,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617
153,2021-08-31T05:05:35Z,Southport Ave & Wellington Ave,41.935733,-87.663576
154,2021-08-31T05:05:35Z,Southport Ave & Belmont Ave,41.939478,-87.663748
1561012870126088744,2021-08-31T05:05:35Z,Central Park Ave & Douglas Blvd,41.862355,-87.715711
1561012870126088746,2021-08-31T05:05:35Z,Keeler Ave & Roosevelt Rd,41.866402,-87.730017
1561012874421056044,2021-08-31T05:05:35Z,Pulaski Rd & 21st St,41.853452,-87.724541
1561012874421056046,2021-08-31T05:05:35Z,Harding Ave & 26th St,41.844472,-87.723265
1561012878716023346,2021-08-31T05:05:35Z,Lawndale Ave & 30th St,41.838912,-87.716896
1561012883010990646,2021-08-31T05:05:35Z,Komensky Ave & 31st St,41.836708,-87.725641
1561012887305957948,2021-08-31T05:05:35Z,Lawndale Ave & 16th St,41.859161,-87.717696
1561012887305957952,2021-08-31T05:05:35Z,Tripp Ave & 15th St,41.860777,-87.731364
1561012891600925250,2021-08-31T05:05:35Z,Homan Ave & Fillmore St,41.868114,-87.710926
1561012895895892548,2021-08-31T05:05:35Z,Kildare Ave & 26th St,41.844232,-87.732153
1561012895895892552,2021-08-31T05:05:35Z,Spaulding Ave & 16th St,41.85892,-87.707963
1561012900190859852,2021-08-31T05:05:35Z,Tripp Ave & 31st St,41.836966,-87.730502
156,2021-08-31T05:05:35Z,Clark St & Wellington Ave,41.936497,-87.647539
1563698675436490728,2021-08-31T05:05:35Z,Meade Ave & Diversey Ave,41.930902,-87.778469
1563698679731458030,2021-08-31T05:05:35Z,Parkside Ave & Armitage Ave,41.916905,-87.767181
1563698684026425330,2021-08-31T05:05:35Z,Central Ave & Parker Ave,41.930178,-87.766122
1563698688321392628,2021-08-31T05:05:35Z,Long Ave & Belmont Ave,41.938307,-87.761663
1563698688321392630,2021-08-31T05:05:35Z,Long Ave & Belden Ave,41.922705,-87.760954
1563698692616359928,2021-08-31T05:05:35Z,Lavergne & Fullerton,41.923982,-87.751164
1563698692616359930,2021-08-31T05:05:35Z,Lamon Ave & Armitage Ave,41.91667,-87.749487
1563698696911327228,2021-08-31T05:05:35Z,Lockwood Ave & Wrightwood Ave,41.927815,-87.758376
1563698701206292480,2021-08-31T05:05:35Z,Lamon Ave & Belmont Ave,41.939011,-87.749283
1563698701206292482,2021-08-31T05:05:35Z,Cicero Ave & Grace St,41.94973,-87.746953
1563698701206292486,2021-08-31T05:05:35Z,Kilbourn & Roscoe,41.942732,-87.739533
1563698705501259788,2021-08-31T05:05:35Z,Kilpatrick Ave & Parker Ave,41.930736,-87.744082
1563698709796227086,2021-08-31T05:05:35Z,Kostner Ave & Wrightwood Ave,41.92794,-87.735992
1563698709796227088,2021-08-31T05:05:35Z,Kilbourn & Belden,41.922352,-87.739024
1563698718386161684,2021-08-31T05:05:35Z,Mason Ave & Belmont Ave,41.938142,-87.774928
1563698718386161692,2021-08-31T05:05:35Z,Mulligan Ave & Wellington Ave,41.934741,-87.784402
1563698722681128992,2021-08-31T05:05:35Z,Sayre & Diversey,41.931008,-87.801065
1571105042230683636,2021-08-31T05:05:35Z,Oketo Ave & Addison St,41.944966,-87.811899
